词语,出现次数
超,2
162,1
亿人次,1
！,3
总台,16
春晚,16
热,1
四海,1
，,25
全球,8
共享,1
中国,10
年,2
"
",10
　,18
通过,4
68,2
种,2
语言,2
对外,2
新,1
媒体,9
平台,5
联动,2
173,1
个,1
国家,2
和,7
地区,1
的,16
1000,1
多家,2
对,1
进行,1
同步,1
直播,1
报道,3
。,19
为,3
当地,1
观众,1
带来,1
了,6
耳目一新,1
文化,5
感受,1
视听,1
体验,1
截至,2
1,2
月,2
26,2
日,2
兔年,1
精编,1
版,1
已,2
在,4
俄罗斯,1
大,2
亚洲,1
电视台,1
、,10
今日,1
哈萨克斯坦,1
通讯社,1
印度尼西亚,1
NTV,1
等,5
30,1
多国,1
主流,5
播出,2
节目,3
还,1
搭建,1
“,4
融,1
定制,1
化,1
服务平台,1
”,4
多种,1
渠道,1
120,1
陆续,2
春节,7
期间,1
正片,1
或,1
宣传片,1
首度,1
登陆,2
海外,7
1642,1
块,3
户外,1
大屏,1
院线,2
银幕,1
其中,1
欧美国家,1
984,1
2023,1
吉祥物,1
兔,1
圆圆,1
首次,1
美国纽约,1
华盛顿,1
洛杉矶,1
五大,1
城市,1
772,1
电影,1
屏幕,1
接地,1
气,1
祝福,1
直,1
民众,1
影院,1
增添,1
欢庆,1
吉祥,1
氛围,1
CGTN,1
多语种,3
主持人,1
主播,3
社交,1
发起,1
《,6
兔子,1
手势,1
舞,1
》,6
线上,1
挑战,1
活动,1
阅读,1
量,1
突破,1
3.4,1
亿,1
40,1
多个,1
语种,1
近百名,1
推出,1
这是,1
每年,1
最火,1
小白兔,1
为何,1
登上,2
舞台,2
这份,1
特殊,1
年夜饭,1
咱们,1
不见不散,1
特色,2
向,2
受众,4
重点,1
推介,1
精彩内容,1
传统,1
快速,1
编译,1
播发,1
记者,2
走进,1
外媒,1
演播室,1
连线,1
接受,1
采访,1
多种形式,1
50,1
余家,1
宣介,1
亮点,1
传统习俗,1
传播,2
与,3
总站,1
紧密,1
推荐,1
及,2
千家,1
积极,1
转载,1
转发,1
相关,1
称赞,1
传承,1
中华文明,2
献上,1
盛宴,1
一抹,1
红,1
一缕,1
春意浓,1
亮相,1
成为,2
讲好,1
故事,1
重要,1
窗口,1
高度,1
关注,1
广泛,1
好评,1
汇聚,1
各国,1
人民,1
期待,2
善意,1
让,1
本届,1
乃至,1
整个,1
格外,1
喜庆,1
欢腾,1
上,1
一带,1
繁花,1
一路,1
歌,1
沿线,1
代表性,1
花卉,1
经典歌曲,1
串联,1
进,1
中国民歌,1
茉莉花,2
中,1
也,2
正像,1
一朵,1
不仅,1
刻,1
人,1
DNA,1
里,1
世界,1
对于,1
记忆,1
花,1
开,1
中华,1
美美,1
共,1
明年,1
春来,1
再会,1
